customer_id,first_name,last_name,gender,age,city,state,membership_level
1,Azad,Sahota,Non‑binary,32,Rajpur Sonarpur,Odisha,Bronze
2,Indrans,Grover,Male,49,Bijapur,Madhya Pradesh,Bronze
3,Ranbir,Kashyap,Male,29,Satara,Arunachal Pradesh,Silver
4,Stuvan,Wadhwa,Female,21,Tiruchirappalli,Rajasthan,Bronze
5,Vedika,Sarna,Female,82,Kavali,Maharashtra,Silver
6,Pari,Chhabra,Non‑binary,71,Khandwa,Haryana,Bronze
7,Zeeshan,Jani,Female,18,Warangal,Punjab,Silver
8,Oorja,Bhandari,Female,72,Ahmedabad,West Bengal,Bronze
9,Prisha,Khanna,Non‑binary,45,Bally,Telangana,Platinum
10,Prerak,Sahota,Male,31,Hindupur,Telangana,Bronze
11,Zain,Saran,Non‑binary,63,Kozhikode,Jharkhand,Gold
12,Gokul,Krishnamurthy,Male,23,Bhopal,Arunachal Pradesh,Silver
13,Urvi,Sura,Non‑binary,66,Bhind,Assam,Bronze
14,Miraan,Varma,Male,64,Bikaner,Nagaland,Silver
15,Dhanush,Dyal,Non‑binary,23,Jabalpur,Assam,Silver
16,Sahil,Sen,Male,28,Kurnool,Jharkhand,Gold
17,Hunar,Dave,Non‑binary,66,Solapur,Rajasthan,Bronze
18,Kimaya,Sathe,Female,38,Jamnagar,Goa,Bronze
19,Dharmajan,Singh,Male,52,Vijayawada,Andhra Pradesh,Silver
20,Azad,Goda,Female,39,Kharagpur,Karnataka,Silver
21,Mahika,Sane,Non‑binary,38,Firozabad,Tripura,Bronze
22,Romil,Butala,Male,46,Barasat,Meghalaya,Silver
23,Bhamini,Raju,Non‑binary,47,Proddatur,Kerala,Gold
24,Pihu,Dara,Female,69,Shahjahanpur,Himachal Pradesh,Bronze
25,Divyansh,Jhaveri,Other,58,Tezpur,Punjab,Bronze
26,Navya,Divan,Other,68,Tiruppur,Tamil Nadu,Gold
27,Jayesh,Luthra,Female,36,Khora ,Sikkim,Bronze
28,Nirvaan,Datta,Other,51,Ichalkaranji,Madhya Pradesh,Silver
29,Hiran,Upadhyay,Female,69,Udupi,Mizoram,Bronze
30,Dhanuk,Doctor,Male,83,Bhiwani,Goa,Bronze
31,Riaan,Jhaveri,Female,32,Thoothukudi,Uttarakhand,Bronze
32,Hiran,Ravel,Other,72,Korba,Mizoram,Silver
33,Aniruddh,Shan,Other,66,Tadipatri,Goa,Silver
34,Piya,Korpal,Male,85,Bihar Sharif,West Bengal,Bronze
35,Alisha,Barad,Non‑binary,32,Pune,Bihar,Silver
36,Veer,Basu,Other,61,Shahjahanpur,Himachal Pradesh,Bronze
37,Heer,Gade,Non‑binary,38,Thanjavur,Uttar Pradesh,Bronze
38,Zaina,Kuruvilla,Male,82,Bangalore,Karnataka,Silver
39,Indrans,Bera,Female,56,Bareilly,Manipur,Gold
40,Nayantara,Wagle,Female,37,Muzaffarnagar,Odisha,Bronze
41,Shayak,Dora,Non‑binary,85,Imphal,Goa,Gold
42,Baiju,Bedi,Non‑binary,80,Bilaspur,Assam,Bronze
43,Tanya,Kapur,Female,57,Aligarh,Odisha,Bronze
44,Lavanya,Roy,Other,28,Dibrugarh,Madhya Pradesh,Bronze
45,Stuvan,Karpe,Female,26,Mehsana,Jharkhand,Platinum
46,Yuvraj,Mane,Female,34,Deoghar,Gujarat,Silver
47,Nitara,Bhagat,Other,51,Firozabad,Uttarakhand,Silver
48,Jivin,Bhandari,Female,45,Rajkot,Himachal Pradesh,Gold
49,Shlok,Gopal,Non‑binary,57,Thrissur,Manipur,Bronze
50,Misha,Saxena,Other,74,Kurnool,Tripura,Gold
51,Keya,Vaidya,Male,33,Durg,Gujarat,Bronze
52,Heer,Thakkar,Female,61,Bhimavaram,Arunachal Pradesh,Bronze
53,Riaan,Sampath,Male,46,Korba,Tamil Nadu,Bronze
54,Taimur,Bahri,Male,47,Ambarnath,Odisha,Bronze
55,Alia,Raman,Female,60,Belgaum,Meghalaya,Bronze
56,Aaryahi,Sachdev,Female,53,Nanded,Madhya Pradesh,Silver
57,Ela,Amble,Other,34,Sonipat,Tripura,Silver
58,Anya,Grewal,Other,49,Gaya,Nagaland,Silver
59,Pranay,Gole,Other,42,Vijayawada,Goa,Bronze
60,Nishith,Shan,Other,63,Mango,Jharkhand,Bronze
61,Samarth,Andra,Male,24,Madurai,Nagaland,Silver
62,Umang,Solanki,Non‑binary,25,Hosur,Tamil Nadu,Bronze
63,Krish,Bera,Female,31,Salem,Telangana,Bronze
64,Romil,Aggarwal,Female,75,Hindupur,Rajasthan,Bronze
65,Devansh,Deol,Male,53,Tumkur,Andhra Pradesh,Bronze
66,Shanaya,Brar,Male,74,Mahbubnagar,Karnataka,Gold
67,Riya,Sachar,Male,24,Singrauli,Punjab,Silver
68,Samarth,Kar,Female,29,Mangalore,Tripura,Gold
69,Dhruv,Bakshi,Other,39,Pudukkottai,Arunachal Pradesh,Bronze
70,Kartik,Gandhi,Male,45,Aurangabad,Punjab,Gold
71,Azad,Behl,Other,39,Madurai,Jharkhand,Bronze
72,Lavanya,Mani,Other,51,Malegaon,Sikkim,Gold
73,Miraan,Kalita,Other,54,Sirsa,Uttar Pradesh,Bronze
74,Shlok,Loke,Female,37,Alwar,Himachal Pradesh,Bronze
75,Anika,Shenoy,Male,25,New Delhi,Telangana,Silver
76,Ayesha,Chaudhry,Other,58,Ramgarh,Andhra Pradesh,Bronze
77,Bhavin,Ganguly,Female,82,Raipur,Meghalaya,Gold
78,Hridaan,Reddy,Male,25,Jalgaon,Sikkim,Platinum
79,Umang,Bir,Male,41,Surendranagar Dudhrej,Himachal Pradesh,Bronze
80,Mishti,Banik,Female,48,Morena,Telangana,Bronze
81,Elakshi,Ratti,Other,23,Ambattur,Meghalaya,Silver
82,Parinaaz,Majumdar,Non‑binary,84,Uluberia,Madhya Pradesh,Bronze
83,Mamooty,Arya,Non‑binary,44,Ulhasnagar,Karnataka,Silver
84,Stuvan,Dugal,Female,48,Nizamabad,Arunachal Pradesh,Bronze
85,Shaan,Koshy,Male,56,Bhilai,Haryana,Bronze
86,Veer,Kar,Male,19,Anantapuram,Karnataka,Bronze
87,Tejas,Kamdar,Non‑binary,27,Rewa,Himachal Pradesh,Silver
88,Krish,Buch,Male,34,Ozhukarai,Uttarakhand,Gold
89,Ahana,Hari,Female,49,Malda,Tamil Nadu,Bronze
90,Miraya,Kala,Non‑binary,74,Firozabad,Haryana,Gold
91,Dhruv,Dutt,Non‑binary,85,Nandyal,Himachal Pradesh,Bronze
92,Kiara,Bera,Female,31,Hubli–Dharwad,Andhra Pradesh,Gold
93,Zain,Batta,Male,51,Aligarh,Maharashtra,Bronze
94,Indrans,Shankar,Female,37,Begusarai,Assam,Bronze
95,Damini,Babu,Non‑binary,61,Mirzapur,Goa,Bronze
